date,hours_opened,tips_normalized,total_sales_normalized,in_store_orders,item_A_sales,item_B_sales,item_C_sales,HCF_sales,type_of_day,avg_temperature,rain,snow,is_long_weekend,is_HCF,is_holiday,season,day_of_week
2024-06-01,9,701.28,10400.88,572.32,4787.08,2487.64,1765.5,0.0,Weekend,14.7,4.0,0.0,False,False,False,Summer,Saturday
2024-06-02,8,665.79,8743.76,481.73,3265.82,2694.16,1436.59,0.0,Weekend,12.5,19.0,0.0,False,False,False,Summer,Sunday
2024-06-03,11,384.0,7547.14,456.66,2622.48,2320.32,1354.56,0.0,Weekday,13.65,10.5,0.0,False,False,False,Summer,Monday
2024-06-04,11,373.5,7724.33,462.68,2898.15,2364.86,1334.32,0.0,Weekday,13.55,5.6,0.0,False,False,False,Summer,Tuesday
2024-06-05,11,435.75,8154.05,508.07,2791.84,2820.49,1426.76,0.0,Weekday,12.95,0.0,0.0,False,False,False,Summer,Wednesday
2024-06-06,11,389.49,7851.16,481.52,2563.76,2715.3,1363.17,0.0,Weekday,13.05,0.0,0.0,False,False,False,Summer,Thursday
2024-06-07,12,613.86,9066.18,564.65,2901.83,3540.39,1436.62,0.0,Friday,14.1,0.0,0.0,False,False,False,Summer,Friday
2024-06-08,12,687.0,11482.03,641.59,3576.37,4641.49,1782.7,0.0,Weekend,16.45,0.0,0.0,False,False,False,Summer,Saturday
2024-06-09,12,573.42,10352.71,635.84,3337.52,4077.19,1754.22,0.0,Weekend,17.3,0.0,0.0,False,False,False,Summer,Sunday
2024-06-10,11,293.52,7095.32,472.96,2321.03,2369.47,1269.77,0.0,Weekday,15.1,0.0,0.0,False,False,False,Summer,Monday
2024-06-11,11,297.93,6742.54,460.53,2252.37,2077.53,1260.88,0.0,Weekday,15.55,2.0,0.0,False,False,False,Summer,Tuesday
2024-06-12,11,357.0,7167.07,487.07,2318.15,2348.59,1413.64,0.0,Weekday,13.7,1.2,0.0,False,False,False,Summer,Wednesday
2024-06-13,11,303.39,6850.1,448.86,2136.07,2450.03,1176.53,0.0,Weekday,13.8,0.0,0.0,False,False,False,Summer,Thursday
2024-06-14,12,535.41,8851.76,566.08,3158.12,2971.2,1443.54,0.0,Friday,13.45,0.9,0.0,False,False,False,Summer,Friday
2024-06-15,12,636.81,9978.14,607.25,3653.38,3453.44,1572.21,0.0,Weekend,13.1,0.0,0.0,False,False,False,Summer,Saturday
2024-06-16,12,414.18,8642.76,541.54,3080.72,3010.86,1333.96,0.0,Weekend,11.95,5.8,0.0,False,False,False,Summer,Sunday
2024-06-17,11,416.37,6442.46,412.32,2089.34,1895.61,1295.4,0.0,Weekday,13.8,0.8,0.0,False,False,False,Summer,Monday
2024-06-18,11,442.8,6952.17,462.41,2277.39,2142.19,1347.78,0.0,Weekday,14.95,0.0,0.0,False,False,False,Summer,Tuesday
2024-06-19,11,510.54,7524.15,498.48,2405.78,2501.54,1435.4,0.0,Weekday,15.1,0.0,0.0,False,False,False,Summer,Wednesday
2024-06-20,11,511.8,7373.15,479.66,2246.83,2484.08,1451.97,0.0,Weekday,16.7,0.0,0.0,False,False,False,Summer,Thursday
2024-06-21,12,872.91,8922.15,567.67,2540.64,3500.4,1548.42,0.0,Friday,18.0,0.0,0.0,False,False,False,Summer,Friday
2024-06-22,12,1045.53,10828.54,682.32,3496.58,4280.11,1620.58,0.0,Weekend,18.14,0.0,0.0,False,False,False,Summer,Saturday
2024-06-23,12,873.03,9680.21,652.63,2926.93,3995.15,1405.94,0.0,Weekend,16.1,0.0,0.0,False,False,False,Summer,Sunday
2024-06-24,11,581.82,7547.69,510.17,2274.39,2716.36,1351.27,0.0,Weekday,15.6,0.0,0.0,False,False,False,Summer,Monday
2024-06-25,11,578.04,7202.74,479.36,2090.82,2689.88,1253.71,0.0,Weekday,16.55,0.0,0.0,False,False,False,Summer,Tuesday
2024-06-26,11,597.9,7215.85,449.83,2332.83,2474.99,1248.04,0.0,Weekday,16.6,2.7,0.0,False,False,False,Summer,Wednesday
2024-06-27,11,501.96,7037.79,479.52,2025.82,2602.27,1209.86,0.0,Weekday,14.14,5.6,0.0,False,False,False,Summer,Thursday
2024-06-28,12,776.16,8656.01,552.9,2570.48,3383.89,1372.35,0.0,Friday,15.0,5.8,0.0,False,False,False,Summer,Friday
2024-06-29,12,806.67,9375.56,596.76,2957.45,3789.73,1414.2,0.0,Weekend,17.5,0.2,0.0,True,False,False,Summer,Saturday
2024-06-30,12,1150.38,10501.52,639.21,3092.02,4232.01,1663.64,0.0,Weekend,19.14,0.0,0.0,True,False,False,Summer,Sunday
2024-07-01,11,841.74,9064.04,565.59,3108.09,3432.22,1251.12,0.0,Holiday,17.25,0.0,0.0,True,False,True,Summer,Monday
2024-07-02,11,595.68,7257.6,464.97,2409.43,2510.21,1154.22,0.0,Weekday,16.39,0.0,0.0,False,False,False,Summer,Tuesday
2024-07-03,11,551.07,6918.91,433.11,2088.33,2531.87,1104.34,0.0,Weekday,15.55,0.0,0.0,False,False,False,Summer,Wednesday
2024-07-04,11,540.78,7310.38,497.6,1981.25,2978.62,1139.36,0.0,Weekday,16.75,0.0,0.0,False,False,False,Summer,Thursday
2024-07-05,12,675.72,8210.6,525.62,2475.08,3280.05,1262.03,0.0,Friday,18.45,0.0,0.0,False,False,False,Summer,Friday
2024-07-06,12,861.99,9436.55,605.59,2711.09,4129.01,1332.76,0.0,Weekend,19.5,0.0,0.0,False,False,False,Summer,Saturday
2024-07-07,12,868.53,8914.81,597.09,2451.78,3960.11,1205.05,0.0,Weekend,20.35,0.0,0.0,False,False,False,Summer,Sunday
2024-07-08,11,623.82,7508.34,504.13,2185.09,2937.72,1199.37,0.0,Weekday,20.6,0.0,0.0,False,False,False,Summer,Monday
2024-07-09,11,474.12,7005.43,432.81,2076.83,2504.81,1259.89,0.0,Weekday,21.95,0.0,0.0,False,False,False,Summer,Tuesday
2024-07-10,11,504.51,7481.16,438.15,2173.14,2654.75,1343.12,0.0,Weekday,19.7,0.0,0.0,False,False,False,Summer,Wednesday
2024-07-11,11,524.55,7241.35,459.23,2034.19,2653.59,1306.26,0.0,Weekday,18.79,0.0,0.0,False,False,False,Summer,Thursday
2024-07-12,12,877.41,8964.82,559.17,2556.41,3666.7,1428.66,0.0,Friday,18.5,0.0,0.0,False,False,False,Summer,Friday
2024-07-13,12,820.35,9909.9,636.39,2817.5,4315.46,1553.6,0.0,Weekend,20.1,0.0,0.0,False,False,False,Summer,Saturday
2024-07-14,12,981.18,9781.73,607.7,2536.7,4405.32,1483.96,0.0,Weekend,20.45,0.0,0.0,False,False,False,Summer,Sunday
2024-07-15,11,471.69,6797.77,409.8,1716.88,2635.91,1242.82,0.0,Weekday,18.8,0.0,0.0,False,False,False,Summer,Monday
2024-07-16,11,569.91,7215.8,460.78,1952.18,2812.04,1287.81,0.0,Weekday,19.45,0.0,0.0,False,False,False,Summer,Tuesday
2024-07-17,11,545.76,7071.43,472.26,1897.45,2757.58,1250.18,0.0,Weekday,21.95,0.0,0.0,False,False,False,Summer,Wednesday
2024-07-18,11,597.6,7381.16,478.52,2018.16,2953.74,1203.75,0.0,Weekday,21.35,0.0,0.0,False,False,False,Summer,Thursday
2024-07-19,12,708.33,8287.59,531.31,2338.87,3321.97,1371.42,0.0,Friday,21.15,0.0,0.0,False,False,False,Summer,Friday
2024-07-20,12,904.38,9722.96,616.25,2666.57,4232.27,1535.95,0.0,Weekend,20.5,0.0,0.0,False,False,False,Summer,Saturday
2024-07-21,12,914.55,9045.6,605.87,2605.26,3639.11,1455.41,0.0,Weekend,19.05,0.0,0.0,False,False,False,Summer,Sunday
2024-07-22,11,487.92,6904.76,462.38,1993.78,2411.62,1256.71,0.0,Weekday,17.95,0.0,0.0,False,False,False,Summer,Monday
2024-07-23,11,611.58,7420.59,492.09,2121.97,2875.93,1186.1,0.0,Weekday,17.45,0.0,0.0,False,False,False,Summer,Tuesday
2024-07-24,11,530.79,6538.39,424.95,1874.39,2344.45,1154.2,0.0,Weekday,18.14,0.0,0.0,False,False,False,Summer,Wednesday
2024-07-25,11,403.89,6831.5,444.14,2084.2,2378.76,1237.42,0.0,Weekday,18.6,0.0,0.0,False,False,False,Summer,Thursday
2024-07-26,12,655.65,8531.43,568.57,2433.5,3490.84,1377.69,0.0,Friday,16.64,0.0,0.0,False,False,False,Summer,Friday
2024-07-27,12,663.75,8019.91,533.88,2340.61,3106.24,1262.13,0.0,Weekend,17.5,0.0,0.0,False,False,False,Summer,Saturday
